Payment_Mode,Total_Transactions_count,Total_Amount,Quarter,Year,State
Peer-to-peer payments,37364,233471780.00357,2,2019,mizoram
Recharge & bill payments,31903,7823562.397702506,2,2019,mizoram
Merchant payments,5646,5889316.861228463,2,2019,mizoram
Financial Services,80,14455.380988399309,2,2019,mizoram
Others,678,817593.4915248882,2,2019,mizoram
Recharge & bill payments,49073,12966806.696277108,3,2019,mizoram
Peer-to-peer payments,42645,257538220.2277506,3,2019,mizoram
Merchant payments,5560,7397529.021326996,3,2019,mizoram
Financial Services,94,72985.31151294889,3,2019,mizoram
Others,722,818358.6944744462,3,2019,mizoram
Recharge & bill payments,60511,16857122.3073061,4,2019,mizoram
Peer-to-peer payments,57109,341664291.49368536,4,2019,mizoram
Merchant payments,6939,9451111.139352825,4,2019,mizoram
Financial Services,100,20966.3333050078,4,2019,mizoram
Others,580,695859.360839114,4,2019,mizoram
Recharge & bill payments,85067,24356294.58523286,1,2020,mizoram
Peer-to-peer payments,57916,356260523.23262954,1,2020,mizoram
Merchant payments,9961,10404414.59250477,1,2020,mizoram
Financial Services,119,283854.3188381147,1,2020,mizoram
Others,546,772492.6204317764,1,2020,mizoram
Recharge & bill payments,127592,37504550.777320914,2,2020,mizoram
Peer-to-peer payments,60021,404110075.08639586,2,2020,mizoram
Merchant payments,10056,14627463.66427093,2,2020,mizoram
Financial Services,244,434960.2799078573,2,2020,mizoram
Others,549,516383.63442262856,2,2020,mizoram
Recharge & bill payments,132664,40941077.03285695,3,2020,mizoram
Peer-to-peer payments,99644,634560147.35069,3,2020,mizoram
Merchant payments,20934,30693648.23645142,3,2020,mizoram
Financial Services,535,824864.513127287,3,2020,mizoram
Others,926,924438.3714747172,3,2020,mizoram
Peer-to-peer payments,141038,887252744.0676681,4,2020,mizoram
Recharge & bill payments,140297,45386403.17281592,4,2020,mizoram
Merchant payments,39676,52094800.565094605,4,2020,mizoram
Financial Services,607,855201.5881157237,4,2020,mizoram
Others,989,932966.3002634952,4,2020,mizoram
Peer-to-peer payments,156386,982955112.1892779,1,2021,mizoram
Recharge & bill payments,128055,45558278.223239526,1,2021,mizoram
Merchant payments,43511,70289687.94622748,1,2021,mizoram
Financial Services,648,1330632.9787811027,1,2021,mizoram
Others,975,971875.6084117102,1,2021,mizoram
Peer-to-peer payments,173064,995581952.9034051,2,2021,mizoram
Recharge & bill payments,161763,56059844.23965932,2,2021,mizoram
Merchant payments,57877,69528721.40156102,2,2021,mizoram
Financial Services,611,710657.5065644829,2,2021,mizoram
Others,1025,993297.250902934,2,2021,mizoram
Peer-to-peer payments,224873,1290523196.259221,3,2021,mizoram
Recharge & bill payments,177281,67493206.62394348,3,2021,mizoram
Merchant payments,74553,113697005.8982099,3,2021,mizoram
Financial Services,522,806905.9729422838,3,2021,mizoram
Others,1300,1228335.4576346257,3,2021,mizoram
Peer-to-peer payments,272209,1545255603.41191,4,2021,mizoram
Recharge & bill payments,179405,67548806.84754582,4,2021,mizoram
Merchant payments,99265,154183940.7282649,4,2021,mizoram
Financial Services,695,2202285.707728365,4,2021,mizoram
Others,1755,1475104.827591939,4,2021,mizoram
Peer-to-peer payments,302740,1691281089.989316,1,2022,mizoram
Recharge & bill payments,190137,76541062.33691594,1,2022,mizoram
Merchant payments,109669,174157725.4146987,1,2022,mizoram
Financial Services,731,1657575.282816791,1,2022,mizoram
Others,1640,1521510.587498479,1,2022,mizoram
Peer-to-peer payments,332102,1739114390.301662,2,2022,mizoram
Recharge & bill payments,172281,70775723.34635986,2,2022,mizoram
Merchant payments,137279,191484723.7683956,2,2022,mizoram
Financial Services,656,801633.2114598342,2,2022,mizoram
Others,1659,1010096.4810587188,2,2022,mizoram
Peer-to-peer payments,349715,1665955694.984817,3,2022,mizoram
Recharge & bill payments,156874,68463689.80469276,3,2022,mizoram
Merchant payments,150320,209934220.2832684,3,2022,mizoram
Financial Services,802,880187.5512756812,3,2022,mizoram
Others,1327,1031819.4438998674,3,2022,mizoram
Peer-to-peer payments,378295,1750113148.3068101,4,2022,mizoram
Merchant payments,164389,222455759.17733783,4,2022,mizoram
Recharge & bill payments,148573,63477925.042983845,4,2022,mizoram
Financial Services,932,949850.198945797,4,2022,mizoram
Others,1585,914402.5369417528,4,2022,mizoram
Recharge & bill payments,28198,5361675.549623315,1,2018,nagaland
Peer-to-peer payments,11631,69830122.02063876,1,2018,nagaland
Merchant payments,822,1170667.4151649117,1,2018,nagaland
Financial Services,399,299016.7345620737,1,2018,nagaland
Others,1795,1344409.3661360394,1,2018,nagaland
Recharge & bill payments,41959,9139467.703980098,2,2018,nagaland
Peer-to-peer payments,20099,140193107.6968359,2,2018,nagaland
Merchant payments,1529,2293935.490835924,2,2018,nagaland
Financial Services,379,153458.5231626137,2,2018,nagaland
Others,1633,1545608.465487119,2,2018,nagaland
Recharge & bill payments,54885,12664922.72411738,3,2018,nagaland
Peer-to-peer payments,33930,223964723.15160477,3,2018,nagaland
Merchant payments,3518,3631042.2777308393,3,2018,nagaland
Financial Services,460,125171.61850935029,3,2018,nagaland
Others,1578,1406883.1646908007,3,2018,nagaland
Recharge & bill payments,72881,16615511.420430308,4,2018,nagaland
Peer-to-peer payments,53723,358926253.4309472,4,2018,nagaland
Merchant payments,10350,10500634.794542968,4,2018,nagaland
Financial Services,587,216127.40846239947,4,2018,nagaland
Others,1792,1754940.4912408509,4,2018,nagaland
Recharge & bill payments,87596,20020458.076388802,1,2019,nagaland
Peer-to-peer payments,71642,411855878.2498224,1,2019,nagaland
Merchant payments,7306,8187940.322092213,1,2019,nagaland
Financial Services,430,101072.89773317604,1,2019,nagaland
Others,1605,1776362.8662935253,1,2019,nagaland
Recharge & bill payments,92492,21350211.077814262,2,2019,nagaland
Peer-to-peer payments,81065,487705354.4657044,2,2019,nagaland
Merchant payments,12949,8990954.079767609,2,2019,nagaland
Financial Services,286,129758.00259777348,2,2019,nagaland
Others,1961,1890404.5326202572,2,2019,nagaland
Recharge & bill payments,145812,33293527.932100527,3,2019,nagaland
Peer-to-peer payments,100736,601803135.4703114,3,2019,nagaland
Merchant payments,13031,13381591.199777829,3,2019,nagaland
Financial Services,210,229319.84921986386,3,2019,nagaland
Others,2089,2248897.2620018576,3,2019,nagaland
Recharge & bill payments,172761,39720745.59767096,4,2019,nagaland
Peer-to-peer payments,128674,777298578.6127516,4,2019,nagaland
Merchant payments,13578,15460907.22890028,4,2019,nagaland
Financial Services,499,283291.7740842187,4,2019,nagaland
Others,1658,1773615.1353679793,4,2019,nagaland
Recharge & bill payments,221741,53662023.320165426,1,2020,nagaland
Peer-to-peer payments,135966,821508819.5893909,1,2020,nagaland
Merchant payments,18249,17663339.36989499,1,2020,nagaland
Financial Services,528,215066.78349539996,1,2020,nagaland
Others,1567,1730779.6714233835,1,2020,nagaland
Recharge & bill payments,328269,85264116.11779374,2,2020,nagaland
Peer-to-peer payments,166866,1025000209.957431,2,2020,nagaland
Merchant payments,20004,25214703.91023749,2,2020,nagaland
Financial Services,860,989239.9671938312,2,2020,nagaland
Others,1567,1206234.3951445608,2,2020,nagaland
Recharge & bill payments,347494,91214897.18744522,3,2020,nagaland
Peer-to-peer payments,330638,1851638119.5398219,3,2020,nagaland
Merchant payments,51912,62568884.132165715,3,2020,nagaland
Financial Services,2544,2136903.0242114514,3,2020,nagaland
Others,3731,2090339.2711506593,3,2020,nagaland
Peer-to-peer payments,417393,2563827858.048714,4,2020,nagaland
Recharge & bill payments,335297,91929581.87730268,4,2020,nagaland
Merchant payments,90496,113115660.1740555,4,2020,nagaland
Financial Services,1068,1017278.309874404,4,2020,nagaland
Others,3571,3194492.1527384534,4,2020,nagaland
Peer-to-peer payments,477346,2841021698.4844904,1,2021,nagaland
Recharge & bill payments,376473,110095189.5931618,1,2021,nagaland
Merchant payments,116846,151202427.14605328,1,2021,nagaland
Financial Services,1511,1929643.694251965,1,2021,nagaland
Others,3721,3201525.695241506,1,2021,nagaland
Peer-to-peer payments,526966,2847731457.571479,2,2021,nagaland
Recharge & bill payments,453979,126962524.74536932,2,2021,nagaland
Merchant payments,144413,176831583.13676438,2,2021,nagaland
Financial Services,1624,1785915.6371230448,2,2021,nagaland
Others,3809,2982482.691132756,2,2021,nagaland
Peer-to-peer payments,667633,3536780176.7792263,3,2021,nagaland
Recharge & bill payments,474693,141172028.2389747,3,2021,nagaland
Merchant payments,208387,304493279.8158357,3,2021,nagaland
Financial Services,1437,1634878.888862805,3,2021,nagaland
Others,4642,3336484.2825483214,3,2021,nagaland
Peer-to-peer payments,819452,4335295237.9809065,4,2021,nagaland
Recharge & bill payments,492411,154359432.07659012,4,2021,nagaland
Merchant payments,311673,442578210.0882374,4,2021,nagaland
Financial Services,1790,2263055.5218537706,4,2021,nagaland
Others,6157,4587848.468888722,4,2021,nagaland
Peer-to-peer payments,963378,4798355631.574022,1,2022,nagaland
Recharge & bill payments,529038,175942440.62210852,1,2022,nagaland
Merchant payments,425336,563650239.9471383,1,2022,nagaland
Financial Services,2022,2503998.824974763,1,2022,nagaland
Others,6178,4499397.927512417,1,2022,nagaland
Peer-to-peer payments,1032542,4933041257.229492,2,2022,nagaland
Merchant payments,513456,640665988.1540828,2,2022,nagaland
Recharge & bill payments,479322,162238616.41478142,2,2022,nagaland
Financial Services,1547,1519503.219426635,2,2022,nagaland
Others,4462,2819984.0024981033,2,2022,nagaland
Peer-to-peer payments,990896,4568905305.863961,3,2022,nagaland
Merchant payments,467257,642368278.6360128,3,2022,nagaland
Recharge & bill payments,430854,148324294.672107,3,2022,nagaland
Financial Services,1479,2345498.6025009975,3,2022,nagaland
Others,3627,2457117.2762476145,3,2022,nagaland
Peer-to-peer payments,1314122,5888068476.789,4,2022,nagaland
Merchant payments,647805,906834415.4525999,4,2022,nagaland
Recharge & bill payments,508230,170028535.796474,4,2022,nagaland
Financial Services,2104,1909585.0695077945,4,2022,nagaland
Others,3944,3125371.2064643847,4,2022,nagaland
Recharge & bill payments,2874109,331254466.1508661,1,2018,odisha
Peer-to-peer payments,2305610,4033548999.193231,1,2018,odisha
Financial Services,323352,58099674.94576137,1,2018,odisha
Merchant payments,129659,112301341.6661862,1,2018,odisha
Others,177091,92427728.93143727,1,2018,odisha
Peer-to-peer payments,3989202,7621288195.565702,2,2018,odisha
Recharge & bill payments,3307545,482823290.3527084,2,2018,odisha
Financial Services,472304,67829259.91787937,2,2018,odisha
Merchant payments,257628,213530873.3537121,2,2018,odisha
Others,131465,102838720.4296912,2,2018,odisha
Peer-to-peer payments,24472139,22029087498.56217,3,2018,odisha
Recharge & bill payments,3886392,605721781.5285043,3,2018,odisha
Financial Services,836547,97292154.49117659,3,2018,odisha
Merchant payments,729995,275532813.4193075,3,2018,odisha
Others,127082,86881527.58366849,3,2018,odisha
Peer-to-peer payments,12285028,21804268077.596012,4,2018,odisha
Recharge & bill payments,5142124,773017649.5916129,4,2018,odisha
Merchant payments,3061813,682181415.8729986,4,2018,odisha
Financial Services,495495,55534399.30905172,4,2018,odisha
Others,158338,114868029.19162309,4,2018,odisha
Peer-to-peer payments,24117274,33342321630.61351,1,2019,odisha
Recharge & bill payments,6713747,1120730273.3482149,1,2019,odisha
Merchant payments,2690762,821493664.580642,1,2019,odisha
Financial Services,375910,34542738.88908587,1,2019,odisha
Others,134249,108039623.2681906,1,2019,odisha
Peer-to-peer payments,16455353,41423292021.95663,2,2019,odisha
Recharge & bill payments,7845252,1506620072.662459,2,2019,odisha
Merchant payments,4827067,1664621261.260024,2,2019,odisha
Financial Services,202705,20424212.30787918,2,2019,odisha
Others,181647,139897303.4868461,2,2019,odisha
Peer-to-peer payments,18490877,51447586885.48035,3,2019,odisha
Merchant payments,13984738,3895753253.334454,3,2019,odisha
Recharge & bill payments,8565917,1806123698.460937,3,2019,odisha
Financial Services,195034,31079934.75864201,3,2019,odisha
Others,185706,124033587.18883921,3,2019,odisha
Peer-to-peer payments,43284477,72966050937.29504,4,2019,odisha
Recharge & bill payments,10629461,2290841668.304525,4,2019,odisha
Merchant payments,10601703,4395710870.154251,4,2019,odisha
Financial Services,323887,38782542.045898676,4,2019,odisha
Others,156105,77987614.2508337,4,2019,odisha
Peer-to-peer payments,27110930,82863844732.4941,1,2020,odisha
Merchant payments,13269709,5738217250.06257,1,2020,odisha
Recharge & bill payments,13083524,3253609732.899296,1,2020,odisha
Financial Services,84037,27641460.905009564,1,2020,odisha
Others,134107,73485022.97217913,1,2020,odisha
Peer-to-peer payments,24520938,80990080777.89252,2,2020,odisha
Recharge & bill payments,17040333,4551061364.3448105,2,2020,odisha
Merchant payments,8313965,6092753944.948116,2,2020,odisha
Financial Services,66787,50322080.33851249,2,2020,odisha
Others,86553,48818444.57258892,2,2020,odisha
Peer-to-peer payments,34182172,107064668710.39911,3,2020,odisha
Recharge & bill payments,17126851,5015719823.514479,3,2020,odisha
Merchant payments,14519265,10242496366.43638,3,2020,odisha
Financial Services,90736,84971747.75755267,3,2020,odisha
Others,114805,56087156.18513397,3,2020,odisha
Peer-to-peer payments,47588728,153208735347.1269,4,2020,odisha
Merchant payments,27124765,19347472702.80409,4,2020,odisha
Recharge & bill payments,17318073,5532179002.0027895,4,2020,odisha
Financial Services,106189,104419909.66526452,4,2020,odisha
Others,187195,109856053.018205,4,2020,odisha
Peer-to-peer payments,54417515,181450436291.91052,1,2021,odisha
Merchant payments,38180718,25201936762.20583,1,2021,odisha
Recharge & bill payments,18633830,6552605937.545544,1,2021,odisha
Financial Services,87263,95064023.94844367,1,2021,odisha
Others,141032,97693172.7305285,1,2021,odisha
Peer-to-peer payments,66929109,208405882369.05438,2,2021,odisha
Merchant payments,39402607,29208847674.89984,2,2021,odisha
Recharge & bill payments,25183699,8024323050.14009,2,2021,odisha
Financial Services,102474,102761986.97553991,2,2021,odisha
Others,206448,122302396.20450991,2,2021,odisha
Peer-to-peer payments,85728576,251150860524.2256,3,2021,odisha
Merchant payments,64268830,43316348173.18004,3,2021,odisha
Recharge & bill payments,26943670,9025674783.4042,3,2021,odisha
Financial Services,97213,112383446.87807691,3,2021,odisha
Others,324385,175452005.353413,3,2021,odisha
Peer-to-peer payments,107560893,310704112799.8908,4,2021,odisha
Merchant payments,99512650,63383870318.301796,4,2021,odisha
Recharge & bill payments,26302130,10728834440.69789,4,2021,odisha
Financial Services,133004,147526652.49426863,4,2021,odisha
Others,416689,286705478.53455377,4,2021,odisha
Peer-to-peer payments,118999900,364447461107.4862,1,2022,odisha
Merchant payments,118108271,74302051597.7621,1,2022,odisha
Recharge & bill payments,26083549,12133153536.7818,1,2022,odisha
Financial Services,102802,118946014.37332991,1,2022,odisha
Others,338977,225699523.4203592,1,2022,odisha
Merchant payments,148544714,90369380298.62819,2,2022,odisha
Peer-to-peer payments,134717859,405793657448.26886,2,2022,odisha
Recharge & bill payments,29843263,13602640170.909231,2,2022,odisha
Financial Services,88649,95050158.46585183,2,2022,odisha
Others,257113,174284263.755097,2,2022,odisha
Merchant payments,188143417,102889591517.7743,3,2022,odisha
Peer-to-peer payments,161912635,444439407187.0311,3,2022,odisha
Recharge & bill payments,36270166,16916650473.3639,3,2022,odisha
Financial Services,113961,114005498.9846147,3,2022,odisha
Others,247147,185902663.39600113,3,2022,odisha
Merchant payments,222167575,121470843740.3327,4,2022,odisha
Peer-to-peer payments,186438654,512124643103.0661,4,2022,odisha
